Feature,Importance
monthly_income,0.07306127777378849
age,0.07301148897926896
total_working_years,0.06677400842719916
years_at_company,0.052882383352531044
distance_from_home,0.051847754484887314
percent_salary_hike,0.04564731777998074
num_companies_worked,0.04340415528814353
years_with_curr_manager,0.04112049359598517
job_role,0.03992824661190998
environment_satisfaction,0.03792455266775852
job_satisfaction,0.03524539114316318
marital_status,0.03472717771873146
training_times_last_year,0.03417351170682172
years_since_last_promotion,0.031603251704895516
education_field,0.03130848389298276
work_life_balance,0.030344815563810267
education,0.02978675410262521
experience_level,0.029115323340046045
income_band,0.026648032434556556
job_level,0.025852708924253502
job_involvement,0.025580323658551382
age_group,0.024871586004525884
stock_option_level,0.02343618329715955
department,0.019744700048983346
frequent_traveler,0.019431810456876433
business_travel,0.014546635825660712
gender,0.011488304783551626
long_commute,0.008809174222522994
high_salary_hike,0.006491773708387359
performance_rating,0.006172056729387519
promotion_status,0.005020321771053905
